
410702	410700	3	district	红旗区	410000,410700,410702	河南省,新乡市,红旗区	河南省	新乡市	红旗区	113.878158	35.302684
410781	410700	3	district	卫辉市	410000,410700,410781	河南省,新乡市,卫辉市	河南省	新乡市	卫辉市	114.065855	35.404295
410400	410000	2	city	平顶山市	410000,410400	河南省,平顶山市	河南省	平顶山市		113.307718	33.735241
410403	410400	3	district	卫东区	410000,410400,410403	河南省,平顶山市,卫东区	河南省	平顶山市	卫东区	113.310327	33.739285
410411	410400	3	district	湛河区	410000,410400,410411	河南省,平顶山市,湛河区	河南省	平顶山市	湛河区	113.320873	33.725681
410423	410400	3	district	鲁山县	410000,410400,410423	河南省,平顶山市,鲁山县	河南省	平顶山市	鲁山县	112.906703	33.740325
410481	410400	3	district	舞钢市	410000,410400,410481	河南省,平顶山市,舞钢市	河南省	平顶山市	舞钢市	113.52625	33.302082
410425	410400	3	district	郏县	410000,410400,410425	河南省,平顶山市,郏县	河南省	平顶山市	郏县	113.220451	33.971993
410422	410400	3	district	叶县	410000,410400,410422	河南省,平顶山市,叶县	河南省	平顶山市	叶县	113.358298	33.621252
410482	410400	3	district	汝州市	410000,410400,410482	河南省,平顶山市,汝州市	河南省	平顶山市	汝州市	112.845336	34.167408
410402	410400	3	district	新华区	410000,410400,410402	河南省,平顶山市,新华区	河南省	平顶山市	新华区	113.299061	33.737579
410404	410400	3	district	石龙区	410000,410400,410404	河南省,平顶山市,石龙区	河南省	平顶山市	石龙区	112.889885	33.901538
410421	410400	3	district	宝丰县	410000,410400,410421	河南省,平顶山市,宝丰县	河南省	平顶山市	宝丰县	113.066812	33.866359
411400	410000	2	city	商丘市	410000,411400	河南省,商丘市	河南省	商丘市		115.650497	34.437054
411423	411400	3	district	宁陵县	410000,411400,411423	河南省,商丘市,宁陵县	河南省	商丘市	宁陵县	115.320055	34.449299
411402	411400	3	district	梁园区	410000,411400,411402	河南省,商丘市,梁园区	河南省	商丘市	梁园区	115.65459	34.436553
411481	411400	3	district	永城市	410000,411400,411481	河南省,商丘市,永城市	河南省	商丘市	永城市	116.449672	33.931318
411422	411400	3	district	睢县	410000,411400,411422	河南省,商丘市,睢县	河南省	商丘市	睢县	115.070109	34.428433
411421	411400	3	district	民权县	410000,411400,411421	河南省,商丘市,民权县	河南省	商丘市	民权县	115.148146	34.648455
411424	411400	3	district	柘城县	410000,411400,411424	河南省,商丘市,柘城县	河南省	商丘市	柘城县	115.307433	34.075277
411403	411400	3	district	睢阳区	410000,411400,411403	河南省,商丘市,睢阳区	河南省	商丘市	睢阳区	115.653813	34.390536
411426	411400	3	district	夏邑县	410000,411400,411426	河南省,商丘市,夏邑县	河南省	商丘市	夏邑县	116.13989	34.240894
411425	411400	3	district	虞城县	410000,411400,411425	河南省,商丘市,虞城县	河南省	商丘市	虞城县	115.863811	34.399634
411600	410000	2	city	周口市	410000,411600	河南省,周口市	河南省	周口市		114.649653	33.620357
411624	411600	3	district	沈丘县	410000,411600,411624	河南省,周口市,沈丘县	河南省	周口市	沈丘县	115.078375	33.395514
411681	411600	3	district	项城市	410000,411600,411681	河南省,周口市,项城市	河南省	周口市	项城市	114.899521	33.443085
411623	411600	3	district	商水县	410000,411600,411623	河南省,周口市,商水县	河南省	周口市	商水县	114.60927	33.543845
411602	411600	3	district	川汇区	410000,411600,411602	河南省,周口市,川汇区	河南省	周口市	川汇区	114.652136	33.614836
411628	411600	3	district	鹿邑县	410000,411600,411628	河南省,周口市,鹿邑县	河南省	周口市	鹿邑县	115.486386	33.861067
411625	411600	3	district	郸城县	410000,411600,411625	河南省,周口市,郸城县	河南省	周口市	郸城县	115.189	33.643852
411622	411600	3	district	西华县	410000,411600,411622	河南省,周口市,西华县	河南省	周口市	西华县	114.530067	33.784378
411603	411600	3	district	淮阳区	410000,411600,411603	河南省,周口市,淮阳区	河南省	周口市	淮阳区	114.870166	33.732547
411627	411600	3	district	太康县	410000,411600,411627	河南省,周口市,太康县	河南省	周口市	太康县	114.853834	34.065312
411621	411600	3	district	扶沟县	410000,411600,411621	河南省,周口市,扶沟县	河南省	周口市	扶沟县	114.392008	34.054061
411700	410000	2	city	驻马店市	410000,411700	河南省,驻马店市	河南省	驻马店市		114.024736	32.980169
411721	411700	3	district	西平县	410000,411700,411721	河南省,驻马店市,西平县	河南省	驻马店市	西平县	114.026864	33.382315
411722	411700	3	district	上蔡县	410000,411700,411722	河南省,驻马店市,上蔡县	河南省	驻马店市	上蔡县	114.266892	33.264719
411726	411700	3	district	泌阳县	410000,411700,411726	河南省,驻马店市,泌阳县	河南省	驻马店市	泌阳县	113.32605	32.725129
411729	411700	3	district	新蔡县	410000,411700,411729	河南省,驻马店市,新蔡县	河南省	驻马店市	新蔡县	114.975246	32.749948
411724	411700	3	district	正阳县	410000,411700,411724	河南省,驻马店市,正阳县	河南省	驻马店市	正阳县	114.38948	32.601826
411728	411700	3	district	遂平县	410000,411700,411728	河南省,驻马店市,遂平县	河南省	驻马店市	遂平县	114.00371	33.14698
411727	411700	3	district	汝南县	410000,411700,411727	河南省,驻马店市,汝南县	河南省	驻马店市	汝南县	114.359495	33.004535
411723	411700	3	district	平舆县	410000,411700,411723	河南省,驻马店市,平舆县	河南省	驻马店市	平舆县	114.637105	32.955626
411702	411700	3	district	驿城区	410000,411700,411702	河南省,驻马店市,驿城区	河南省	驻马店市	驿城区	114.029149	32.977559
411725	411700	3	district	确山县	410000,411700,411725	河南省,驻马店市,确山县	河南省	驻马店市	确山县	114.026679	32.801538
410500	410000	2	city	安阳市	410000,410500	河南省,安阳市	河南省	安阳市		114.352482	36.103442
410505	410500	3	district	殷都区	410000,410500,410505	河南省,安阳市,殷都区	河南省	安阳市	殷都区	114.300098	36.108974
410581	410500	3	district	林州市	410000,410500,410581	河南省,安阳市,林州市	河南省	安阳市	林州市	113.823767	36.063403
410506	410500	3	district	龙安区	410000,410500,410506	河南省,安阳市,龙安区	河南省	安阳市	龙安区	114.323522	36.095568
410527	410500	3	district	内黄县	410000,410500,410527	河南省,安阳市,内黄县	河南省	安阳市	内黄县	114.904582	35.953702
410503	410500	3	district	北关区	410000,410500,410503	河南省,安阳市,北关区	河南省	安阳市	北关区	114.352646	36.10978
410502	410500	3	district	文峰区	410000,410500,410502	河南省,安阳市,文峰区	河南省	安阳市	文峰区	114.352562	36.098101
410522	410500	3	district	安阳县	410000,410500,410522	河南省,安阳市,安阳县	河南省	安阳市	安阳县	114.130207	36.130585
410526	410500	3	district	滑县	410000,410500,410526	河南省,安阳市,滑县	河南省	安阳市	滑县	114.524	35.574628
410523	410500	3	district	汤阴县	410000,410500,410523	河南省,安阳市,汤阴县	河南省	安阳市	汤阴县	114.362357	35.922349
410600	410000	2	city	鹤壁市	410000,410600	河南省,鹤壁市	河南省	鹤壁市		114.295444	35.748236
410602	410600	3	district	鹤山区	410000,410600,410602	河南省,鹤壁市,鹤山区	河南省	鹤壁市	鹤山区	114.166551	35.936128
410603	410600	3	district	山城区	410000,410600,410603	河南省,鹤壁市,山城区	河南省	鹤壁市	山城区	114.184202	35.896058
410622	410600	3	district	淇县	410000,410600,410622	河南省,鹤壁市,淇县	河南省	鹤壁市	淇县	114.200379	35.609478
410621	410600	3	district	浚县	410000,410600,410621	河南省,鹤壁市,浚县	河南省	鹤壁市	浚县	114.550162	35.671282
